PdfType: replica
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00 
1.14018E+00 1.22539E+00 1.32482E+00 1.44156E+00 1.57954E+00 1.74381E+00 1.94091E+00 2.12132E+00 2.17945E+00 2.49622E+00 2.89383E+00 3.39925E+00 4.05063E+00 4.90286E+00 6.03623E+00 7.57063E+00 9.68869E+00 1.26749E+01 1.69835E+01 2.33578E+01 3.30501E+01 4.82334E+01 7.28041E+01 1.13998E+02 1.85779E+02 3.16228E+02 
908 909 
-7.50545E+01 1.42066E+01 
-9.18095E+01 1.91901E+01 
-1.12144E+02 2.59926E+01 
-1.28780E+02 3.33704E+01 
4.02805E+00 1.21640E+00 
3.40834E+00 1.10283E+00 
4.76102E+00 2.51967E+00 
3.43021E+00 2.32990E+00 
1.92954E+00 2.13825E+00 
2.52102E-01 1.95397E+00 
-1.60746E+00 1.78707E+00 
-3.17347E+00 1.67659E+00 
-3.65247E+00 1.64820E+00 
-6.06660E+00 1.54279E+00 
-8.69612E+00 1.49771E+00 
-1.15361E+01 1.52815E+00 
-1.45776E+01 1.64961E+00 
-1.65958E+01 2.08888E+00 
-2.00322E+01 2.40130E+00 
-2.36506E+01 2.85011E+00 
-2.74296E+01 3.45562E+00 
-3.13448E+01 4.23866E+00 
-3.53759E+01 5.22132E+00 
-3.95337E+01 6.43078E+00 
-4.39605E+01 7.91646E+00 
-4.92581E+01 9.81655E+00 
-5.70997E+01 1.25275E+01 
-6.94698E+01 1.67091E+01 
-8.43338E+01 2.23700E+01 
-9.61569E+01 2.84312E+01 
3.37722E+00 9.52580E-01 
2.87922E+00 8.55187E-01 
4.09004E+00 2.09679E+00 
3.01934E+00 1.94316E+00 
1.81242E+00 1.79178E+00 
4.65087E-01 1.65053E+00 
-1.02541E+00 1.52780E+00 
-2.27760E+00 1.45111E+00 
-2.66003E+00 1.43239E+00 
-4.58298E+00 1.37069E+00 
-6.66871E+00 1.36328E+00 
-8.91061E+00 1.42225E+00 
-1.12989E+01 1.55978E+00 
-1.28203E+01 1.93802E+00 
-1.54862E+01 2.23179E+00 
-1.82750E+01 2.64036E+00 
-2.11660E+01 3.17931E+00 
-2.41356E+01 3.86440E+00 
-2.71630E+01 4.71216E+00 
-3.02508E+01 5.74311E+00 
-3.35010E+01 6.99634E+00 
-3.73616E+01 8.58532E+00 
-4.30781E+01 1.08383E+01 
-5.20939E+01 1.42949E+01 
-6.27986E+01 1.89385E+01 
-7.10159E+01 2.38537E+01 
2.83052E+00 7.32723E-01 
2.43112E+00 6.47396E-01 
3.51518E+00 1.73194E+00 
2.65571E+00 1.60513E+00 
1.68740E+00 1.48342E+00 
6.08084E-01 1.37342E+00 
-5.83106E-01 1.28208E+00 
-1.58121E+00 1.22878E+00 
-1.88551E+00 1.21662E+00 
-3.41182E+00 1.18355E+00 
-5.05976E+00 1.19862E+00 
-6.82190E+00 1.27134E+00 
-8.68818E+00 1.41118E+00 
-9.82368E+00 1.73039E+00 
-1.18808E+01 1.99718E+00 
-1.40172E+01 2.35980E+00 
-1.62132E+01 2.83001E+00 
-1.84468E+01 3.41947E+00 
-2.06979E+01 4.14021E+00 
-2.29636E+01 5.00733E+00 
-2.53157E+01 6.05098E+00 
-2.80841E+01 7.36223E+00 
-3.21863E+01 9.20714E+00 
-3.86556E+01 1.20197E+01 
-4.62238E+01 1.57706E+01 
-5.17687E+01 1.97003E+01 
2.37269E+00 5.48197E-01 
2.05293E+00 4.71891E-01 
3.02366E+00 1.41569E+00 
2.33524E+00 1.30868E+00 
1.56023E+00 1.20860E+00 
6.97939E-01 1.12096E+00 
-2.51214E-01 1.05144E+00 
-1.04418E+00 1.01379E+00 
-1.28549E+00 1.00589E+00 
-2.49251E+00 9.90415E-01 
-3.78920E+00 1.01711E+00 
-5.16789E+00 1.09336E+00 
-6.61875E+00 1.22639E+00 
-7.45644E+00 1.49042E+00 
-9.03476E+00 1.72598E+00 
-1.06604E+01 2.04089E+00 
-1.23152E+01 2.44382E+00 
-1.39793E+01 2.94315E+00 
-1.56337E+01 3.54735E+00 
-1.72724E+01 4.26711E+00 
-1.89445E+01 5.12500E+00 
-2.08902E+01 6.19212E+00 
-2.37767E+01 7.67910E+00 
-2.83296E+01 9.92818E+00 
-3.35557E+01 1.29063E+01 
-3.71453E+01 1.59985E+01 
1.99005E+00 3.92401E-01 
1.73440E+00 3.22900E-01 
2.60373E+00 1.14063E+00 
2.05343E+00 1.04817E+00 
1.43456E+00 9.63743E-01 
7.47468E-01 8.91852E-01 
-6.56897E-03 8.37105E-01 
-6.34469E-01 8.09467E-01 
-8.25156E-01 8.04164E-01 
-1.77606E+00 7.98435E-01 
-2.79200E+00 8.29249E-01 
-3.86545E+00 9.02247E-01 
-4.98715E+00 1.02285E+00 
-5.59683E+00 1.23670E+00 
-6.80025E+00 1.43968E+00 
-8.02806E+00 1.70780E+00 
-9.26401E+00 2.04730E+00 
-1.04902E+01 2.46396E+00 
-1.16893E+01 2.96344E+00 
-1.28536E+01 3.55292E+00 
-1.40159E+01 4.24856E+00 
-1.53481E+01 5.10408E+00 
-1.73283E+01 6.28148E+00 
-2.04538E+01 8.04443E+00 
-2.39513E+01 1.03624E+01 
-2.61328E+01 1.27509E+01 
1.67053E+00 2.60269E-01 
1.46631E+00 1.95992E-01 
2.24486E+00 9.00853E-01 
